accuracy,churn_precision,churn_recall,time_needed
0.9328263624841572,0.8195488721804511,0.7898550724637681,0.20582945900969207
0.935361216730038,0.7816901408450704,0.8473282442748091,0.19976658292580396
0.9569074778200254,0.859375,0.873015873015873,0.1902245000237599
0.917617237008872,0.6785714285714286,0.8260869565217391,0.1961752501083538
0.9315589353612167,0.8098591549295775,0.8098591549295775,0.19244279200211167
0.9493029150823827,0.8482758620689655,0.8723404255319149,0.1884124999633059
0.9252217997465145,0.7559055118110236,0.7741935483870968,0.18740933295339346
0.9138149556400507,0.7354838709677419,0.8085106382978723,0.19127683399710804
0.9340937896070975,0.7627118644067796,0.7894736842105263,0.19379362498875707
0.9518377693282636,0.8301886792452831,0.9230769230769231,0.19116687506902963
