accuracy,churn_precision,churn_recall,f1,time_needed
0.944233206590621,0.8251748251748252,0.8613138686131386,0.8428571428571429,0.1471337000002677
0.9226869455006337,0.7905405405405406,0.7959183673469388,0.7932203389830509,0.11773750000065775
0.9391634980988594,0.8211920529801324,0.8551724137931035,0.8378378378378378,0.0897690000019793
0.9112801013941698,0.738562091503268,0.7902097902097902,0.7635135135135135,0.0820519000008062
0.9404309252217997,0.7737226277372263,0.8688524590163934,0.8185328185328186,0.0764309999976831
0.944233206590621,0.7894736842105263,0.8677685950413223,0.8267716535433071,0.08739400000195019
0.9340937896070975,0.7902097902097902,0.837037037037037,0.8129496402877698,0.07758000000103493
0.9239543726235742,0.7518248175182481,0.7984496124031008,0.7744360902255639,0.08059399999910966
0.9467680608365019,0.7971014492753623,0.8870967741935484,0.8396946564885496,0.0852575999997498
0.9125475285171103,0.7531645569620253,0.7986577181208053,0.7752442996742671,0.09710379999887664
