accuracy,churn_precision,churn_recall,f1,time_needed
0.8935361216730038,0.704,0.6518518518518519,0.676923076923077,16.824319600000308
0.8795944233206591,0.6538461538461539,0.6296296296296297,0.6415094339622641,17.162784599997394
0.8884664131812421,0.6690647482014388,0.6888888888888889,0.6788321167883211,19.522481400003016
0.8783269961977186,0.6444444444444445,0.6444444444444445,0.6444444444444445,13.032069599998067
0.8795944233206591,0.6612903225806451,0.6074074074074074,0.6332046332046332,8.450319600000512
0.8745247148288974,0.6323529411764706,0.6370370370370371,0.6346863468634686,8.058888915926218
0.8681875792141952,0.6302521008403361,0.5555555555555556,0.5905511811023622,5.159495834028348
0.899873257287706,0.71875,0.6814814814814815,0.6996197718631179,7.515869457973167
0.8821292775665399,0.675,0.6,0.6352941176470588,6.687043417012319
0.8910012674271229,0.6929133858267716,0.6518518518518519,0.6717557251908397,5.745145458960906
0.8846641318124208,0.7037037037037037,0.562962962962963,0.6255144032921811,6.34516220795922
0.8745247148288974,0.6636363636363637,0.5407407407407407,0.5959183673469388,7.99342625006102
0.8960709759188846,0.7387387387387387,0.6074074074074074,0.6666666666666666,8.846309042070061
0.8910012674271229,0.7207207207207207,0.5925925925925926,0.6504065040650406,6.77083670895081
0.8783269961977186,0.672566371681416,0.562962962962963,0.6129032258064516,8.104959959047846
